epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,862.2,1.42499,2.40503,11.8501,1.44519,0.38367,0.14933,0.07996,0.03775,0.34046,0.14155,0.0752,0.03094,1.36327,2.28231,9.80073,1.32418,0.000368751,0.000368751,0.000368751
2,1043.3,1.28608,2.15366,9.48754,1.31459,0.3386,0.18381,0.09346,0.04797,0.5399,0.17514,0.09166,0.04109,1.3165,2.25408,9.00853,1.35493,0.000714694,0.000714694,0.000714694
3,1224.31,1.26499,2.10608,8.91496,1.2904,0.87925,0.08492,0.08489,0.04336,0.87907,0.08472,0.08281,0.03709,1.29429,2.14316,9.84893,1.29962,0.0010362,0.0010362,0.0010362
4,1405.6,1.24074,2.0884,8.49422,1.28003,0.56031,0.19423,0.11493,0.05878,0.55705,0.19261,0.11316,0.05082,1.24453,2.01641,8.45166,1.25979,0.00100101,0.00100101,0.00100101
5,1585.38,1.22241,2.04274,8.25093,1.25157,0.5611,0.19802,0.13198,0.06894,0.56207,0.19646,0.13041,0.06031,1.20613,2.02343,8.6366,1.22103,0.000964348,0.000964348,0.000964348
6,1760.22,1.17426,1.98659,8.12713,1.2237,0.40994,0.19384,0.0916,0.0468,0.40006,0.18981,0.09006,0.04086,1.2189,2.0266,8.71343,1.25112,0.000927685,0.000927685,0.000927685
7,1935.87,1.17746,1.96733,7.92113,1.21179,0.41417,0.18964,0.1052,0.05371,0.40944,0.18662,0.10327,0.0471,1.18319,1.93823,8.6065,1.21078,0.000891022,0.000891022,0.000891022
8,2113.04,1.15066,1.91041,7.63488,1.20059,0.45327,0.25829,0.17955,0.09689,0.45196,0.25392,0.17607,0.08497,1.15135,1.85546,7.48894,1.18711,0.000854359,0.000854359,0.000854359
9,2286.11,1.13467,1.90882,7.59341,1.21083,0.47993,0.26356,0.20874,0.11416,0.47768,0.25774,0.20492,0.09873,1.14183,1.83651,7.45328,1.17719,0.000817696,0.000817696,0.000817696
10,2457.9,1.13329,1.88547,7.44123,1.18825,0.5003,0.25296,0.20649,0.11071,0.49943,0.24635,0.19917,0.09523,1.15559,1.85003,7.36196,1.19764,0.000781033,0.000781033,0.000781033
