epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,159.906,2.24462,3.68388,3.86931,1.45508,0.51841,0.07866,0.05594,0.02388,0.51477,0.0759,0.05196,0.02073,2.24032,3.83388,3.30521,1.27545,0.000367168,0.000367168,0.000367168
2,280.095,2.01718,3.2305,2.77291,1.32034,0.32726,0.17417,0.0848,0.03992,0.32624,0.16993,0.08341,0.036,2.00129,3.26756,2.54772,1.30387,0.000664489,0.000664489,0.000664489
3,401.643,1.927,3.14384,2.58999,1.26764,0.53852,0.17356,0.08907,0.04338,0.54184,0.17199,0.09034,0.03889,1.95473,3.15928,2.40051,1.28907,0.000888483,0.000888483,0.000888483
4,519.969,1.83874,3.03447,2.52496,1.25302,0.37668,0.19442,0.1102,0.05548,0.37235,0.19041,0.10698,0.0485,1.88645,3.04765,2.25896,1.22751,0.000781033,0.000781033,0.000781033
5,640.035,1.80202,2.94813,2.37256,1.23318,0.39661,0.19837,0.12612,0.06493,0.39284,0.19492,0.12329,0.05554,1.84657,2.96846,2.19705,1.23793,0.000671044,0.000671044,0.000671044
6,759.398,1.78084,2.91494,2.34644,1.21697,0.42733,0.21919,0.14545,0.07338,0.42926,0.21418,0.14042,0.06295,1.84292,2.94603,2.12256,1.23715,0.000561055,0.000561055,0.000561055
7,879.442,1.7346,2.83601,2.29772,1.18582,0.4653,0.21334,0.14957,0.07939,0.48313,0.20829,0.14572,0.06657,1.7792,2.88008,2.08443,1.20041,0.000451066,0.000451066,0.000451066
8,998.009,1.70583,2.77647,2.17939,1.18602,0.4795,0.24392,0.16595,0.08585,0.48499,0.23749,0.16252,0.07208,1.76017,2.83058,2.05034,1.1786,0.000341077,0.000341077,0.000341077
9,1115.58,1.65966,2.75333,2.1272,1.17352,0.49519,0.2575,0.17999,0.09402,0.49755,0.25423,0.17727,0.08138,1.73448,2.78503,1.98518,1.19074,0.000231088,0.000231088,0.000231088
10,1236,1.65962,2.72491,2.03291,1.15983,0.50415,0.26443,0.19795,0.10554,0.49936,0.25835,0.19257,0.09025,1.71372,2.75333,1.904,1.16579,0.000121099,0.000121099,0.000121099
